"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","failedUserNameRegistration","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","skipped","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedUserNameRegistration"
"","0","openPage","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","broken","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","openPage"
"","2","setDriverManager","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","broken","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","setDriverManager"
"Validate navigation to multiple options","0","filterBy","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","skipped","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","filterBy"
"","0","openPage","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","broken","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","openPage"
"","0","failedPasswordRegistration","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","skipped","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","failedPasswordRegistration"
"","0","closeDriver","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","broken","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.RegistrationLoginTests","My Registration Test","co.com.training.web.tests.RegistrationLoginTests","closeDriver"
"","0","navigateToTableAndSearchBy","Training web Test Suite","Wed Sep 10 22:57:47 UTC 2025","skipped","Wed Sep 10 22:57:47 UTC 2025","co.com.training.web.tests.FilteringOptionsTests","Filtering Options Test","co.com.training.web.tests.FilteringOptionsTests","navigateToTableAndSearchBy"
